<<<<<<< HEAD
1,Абакумов,37,Первая,490
2,Абрамова,58,Высшая,46
3,Абрикосов,37,Вторая,193
4,Абросимова,45,Вторая,447
5,Авакумов,56,Высшая,133
6,Авдеева,49,Без категории,323
7,Авдиев,53,Высшая,348
8,Аверкиев,37,Без категории,3
9,Аверкова,41,Первая,161
10,Авилин,45,Без категории,279
11,Авилов,44,Без категории,204
12,Авксентьева,50,Без категории,399
13,Аврамов,51,Первая,130
14,Авсеев,52,Без категории,119
15,Агапеева,30,Первая,320
16,Агапова,60,Вторая,43
17,Агапьева,25,Первая,119
18,Агеев,44,Первая,23
19,Агутин,35,Без категории,299
20,Адрианова,59,Первая,72
21,Азаров,36,Высшая,329
22,Азарьев,54,Высшая,139
23,Азарьин,29,Без категории,411
24,Акатова,51,Без категории,471
25,Акатьев,31,Высшая,446
26,Акимова,38,Высшая,401
27,Акиндинова,27,Без категории,390
28,Акинфиев,27,Высшая,326
29,Акинфова,44,Высшая,49
30,Аксёнова,34,Первая,158
31,Аксентьев,34,Без категории,8
32,Акулина,25,Первая,231
33,Акулов,42,Без категории,373
34,Александров,32,Высшая,11
35,Алексеева,46,Первая,257
36,Алёхин,51,Вторая,485
37,Алимпиева,40,Вторая,440
38,Алипов,56,Первая,32
39,Алипьев,48,Вторая,466
40,Алисова,54,Без категории,265
41,Алпатова,44,Первая,227
42,Алтухова,42,Первая,292
43,Алфёрова,42,Первая,32
44,Алферьева,42,Вторая,272
45,Алфимова,54,Первая,67
46,Алябьев,28,Без категории,166
47,Амарантова,52,Высшая,342
48,Амвросов,42,Вторая,107
49,Амвросьева,33,Вторая,466
50,Амосов,33,Высшая,85
51,Ананьева,48,Высшая,32
52,Ананьин,47,Первая,188
53,Анастасов,49,Без категории,8
54,Анастасьева,48,Высшая,498
55,Андреев,39,Вторая,28
56,Андрианова,40,Высшая,237
57,Андроникова,49,Первая,62
58,Андронов,38,Первая,180
59,Андропова,33,Без категории,258
60,Андрусов,55,Высшая,124
61,Анемподистова,43,Первая,134
62,Аникеев,58,Без категории,173
63,Анисимов,57,Вторая,403
64,Анискина,44,Высшая,48
65,Анкидинов,33,Вторая,192
66,Анкудинова,29,Высшая,46
67,Анненкова,42,Первая,333
68,Антипин,29,Высшая,154
69,Антипова,59,Первая,414
70,Антипьева,54,Первая,438
71,Антонов,36,Вторая,203
72,Антоньева,49,Вторая,233
73,Ануров,29,Вторая,466
74,Анурьева,35,Без категории,252
75,Анфимов,36,Вторая,17
76,Анхимова,27,Высшая,181
77,Анцыферова,44,Вторая,28
78,Анюков,60,Вторая,176
79,Апарина,27,Высшая,13
80,Арановский,37,Без категории,208
81,Арбузова,39,Вторая,115
82,Ардалионов,28,Вторая,473
83,Аренский,42,Первая,273
84,Арепьева,34,Первая,492
85,Арефин,36,Высшая,21
86,Арефова,56,Без категории,130
87,Арефьев,43,Первая,474
88,Аристархова,53,Первая,300
89,Аристов,52,Вторая,447
90,Аркадова,31,Вторая,109
91,Аркадьев,31,Высшая,373
92,Аркадьина,58,Вторая,306
93,Арсенов,41,Вторая,9
94,Арсеньева,50,Высшая,364
95,Артамонов,59,Вторая,58
96,Артёмова,47,Высшая,234
97,Артемьев,33,Высшая,341
98,Архипова,40,Без категории,232
99,Архипьев,47,Без категории,195
100,Асафова,25,Вторая,219
101,Асафьев,51,Первая,386
102,Асеева,36,Первая,301
103,Астапов,31,Без категории,203
104,Астафьев,41,Высшая,392
105,Астахов,39,Первая,168
106,Асташина,42,Высшая,486
107,Афанасов,30,Без категории,499
108,Афанасьев,28,Высшая,107
109,Афремова,49,Вторая,470
110,Африканов,39,Вторая,487
111,Африкантов,36,Без категории,184
112,Афросимов,30,Первая,48
113,Бабурова,59,Вторая,271
114,Багаряков,55,Вторая,244
115,Багирова,31,Без категории,161
116,Багринцев,37,Вторая,184
117,Багрянцева,37,Вторая,392
118,Баданин,60,Первая,60
119,Бакунина,42,Первая,77
120,Банников,54,Высшая,358
121,Банщикова,47,Вторая,209
122,Бартенев,58,Без категории,362
123,Баскаков,52,Без категории,292
124,Басманов,26,Вторая,179
125,Баталин,42,Вторая,209
126,Беглова,58,Высшая,63
127,Безбатько,50,Вторая,37
128,Бездудный,46,Без категории,157
129,Безрученко,28,Высшая,346
130,Безсало,46,Без категории,236
131,Белинская,38,Высшая,430
132,Белобровко,60,Без категории,22
133,Белокурова,52,Вторая,373
134,Белоножко,58,Высшая,444
135,Белооченко,59,Первая,48
136,Белорукова,52,Без категории,242
137,Белоусова,56,Первая,492
138,Белошапко,48,Первая,314
139,Белый,36,Без категории,256
140,Берёза,59,Высшая,44
141,Березина,55,Вторая,208
142,Берёзин,60,Вторая,315
143,Березовский,25,Вторая,367
144,Берсенева,29,Первая,374
145,Берсенёв,57,Высшая,261
146,Беспаленко,34,Без категории,342
147,Беспалов,52,Первая,255
148,Беспутина,34,Без категории,89
149,Бесчастных,36,Высшая,485
150,Бехтерева,25,Вторая,63
151,Бобков,54,Высшая,236
152,Богатченко,29,Вторая,183
153,Богданова,45,Высшая,213
154,Богомолов,57,Высшая,188
155,Богуславский,28,Первая,200
156,Бодылева,39,Без категории,16
157,Борисов,38,Высшая,75
158,Борова,38,Вторая,415
159,Боровой,33,Первая,443
160,Бородин,55,Первая,194
161,Бортников,47,Без категории,282
162,Борцов,56,Высшая,94
163,Босова,59,Без категории,106
164,Боярский,58,Без категории,134
165,Брежнев,50,Высшая,216
166,Бровцева,44,Вторая,51
167,Бугрименко,48,Без категории,27
168,Булганин,56,Вторая,365
169,Булочникова,45,Первая,81
170,Бунин,30,Без категории,2
171,Буняченко,29,Без категории,59
172,Бураченко,54,Вторая,359
173,Бурмистрова,55,Вторая,104
174,Бутин,34,Вторая,409
175,Буторина,41,Без категории,434
176,Быков,25,Вторая,44
177,Вавилина,32,Вторая,51
178,Вавилов,55,Высшая,332
179,Вакулина,57,Первая,321
180,Вакулов,36,Первая,236
181,Валуева,27,Высшая,141
182,Варламова,53,Без категории,380
183,Варнавин,35,Первая,115
184,Варченко,56,Высшая,27
185,Васечкина,60,Высшая,456
186,Василев,34,Без категории,446
187,Василов,33,Без категории,461
188,Васильева,28,Первая,397
189,Венедиктов,31,Без категории,81
190,Вепрева,25,Первая,424
191,Верзилов,50,Без категории,258
192,Вершинина,59,Первая,447
193,Веселов,58,Без категории,210
194,Весельницкий,58,Без категории,377
195,Ветрова,25,Первая,179
196,Викентьев,60,Вторая,145
197,Викторова,60,Первая,139
198,Винтилов,39,Без категории,181
199,Витушева,47,Первая,41
200,Витязев,26,Высшая,437
201,Вихров,36,Вторая,305
202,Вишневский,36,Первая,233
203,Власова,42,Высшая,149
204,Власьев,27,Без категории,401
205,Внифатьев,57,Вторая,116
206,Водонаева,44,Вторая,417
207,Войнов,43,Первая,61
208,Волкова,35,Высшая,136
209,Волочкова,41,Первая,217
210,Вонифатова,36,Первая,18
211,Вонифатьев,48,Первая,40
212,Воробьёва,50,Вторая,295
213,Воробьевский,47,Высшая,2
214,Воронова,27,Вторая,462
215,Воротников,56,Первая,97
216,Высоцкий,52,Без категории,234
217,Габышева,41,Вторая,281
218,Гаврилин,27,Вторая,492
219,Гаврилова,38,Первая,487
220,Галкин,25,Без категории,64
221,Гальцов,31,Вторая,281
222,Гарасимова,59,Без категории,361
223,Гедеонов,47,Первая,143
224,Геннадиев,32,Без категории,152
225,Герасимова,45,Без категории,212
226,Германов,48,Вторая,65
227,Гермогенова,46,Высшая,213
228,Гладышев,60,Без категории,394
229,Глуховцева,45,Без категории,114
230,Гляделкин,44,Первая,308
231,Гнилорыбова,26,Первая,254
232,Голиков,42,Высшая,348
233,Головачёва,37,Вторая,172
234,Голофтеев,30,Без категории,465
235,Голунова,58,Первая,301
236,Гомзиков,39,Без категории,176
237,Гончаров,25,Без категории,235
238,Гордеева,45,Первая,67
239,Горелов,45,Вторая,432
240,Гостева,60,Вторая,357
241,Графинин,41,Высшая,24
242,Графова,60,Первая,441
243,Гриб,51,Вторая,99
244,Григоров,40,Вторая,468
245,Григорьева,38,Вторая,11
246,Гришин,35,Первая,338
247,Грунина,57,Вторая,198
248,Грязев,42,Без категории,279
249,Гумилёв,35,Без категории,368
250,Гурьев,54,Высшая,248
251,Гусева,39,Без категории,373
252,Гусельников,28,Вторая,50
253,Гутенёв,28,Высшая,90
254,Давыдова,42,Первая,424
255,Далина,40,Высшая,447
256,Далматова,36,Без категории,422
257,Данилин,47,Первая,20
258,Данилов,25,Без категории,496
259,Данов,44,Высшая,28
260,Данькова,46,Первая,467
261,Девяткина,41,Первая,33
262,Дёготь,59,Вторая,214
263,Дегтярёва,60,Без категории,46
264,Деев,28,Без категории,294
265,Дежнёва,60,Высшая,163
266,Делягин,33,Без категории,129
267,Демидова,36,Первая,450
268,Дёмушкин,26,Первая,4
269,Денисова,27,Вторая,480
270,Денисьев,48,Первая,467
271,Дзержинский,31,Первая,484
272,Димитриев,35,Первая,177
273,Дмитриева,49,Вторая,101
274,Доброхотов,60,Первая,382
275,Додолев,43,Первая,352
276,Долгих,26,Вторая,190
277,Долженко,37,Первая,255
278,Долотин,35,Высшая,487
279,Домникова,47,Без категории,4
280,Доримедонтов,48,Высшая,204
281,Дормедонтов,54,Вторая,154
282,Дормидонтова,44,Вторая,384
283,Дородова,57,Без категории,208
284,Дорофеева,39,Высшая,183
285,Достоевский,55,Высшая,184
